,1,weights_1,2,weights_2
66,(d ∧ v₅) → v₃,1.3862943611198906,(r ∧ v₅) → v₃,-1.2215645976395069
67,(d ∧ v₅) → v₄,0.2641515750415869,(r ∧ v₅) → v₄,4.127134385045092
68,(d ∧ v₅) → v₅,+inf,(r ∧ v₅) → v₅,+inf
69,(d ∧ v₅) → v₆,3.0239031505206873,(r ∧ v₅) → v₆,1.6165553802029644
70,(d ∧ v₅) → v₇,0.29022984453057965,(r ∧ v₅) → v₇,-1.0599974525403302
71,(d ∧ v₅) → v₈,0.34409616173187235,(r ∧ v₅) → v₈,-1.232000977046939
72,(d ∧ v₅) → v₉,0.3719424160695208,(r ∧ v₅) → v₉,-1.2938646441809198
73,(d ∧ v₅) → v₁₀,0.5540343780972274,(r ∧ v₅) → v₁₀,-0.31143615845988804
74,(d ∧ v₅) → v₁₁,1.3862943611198906,(r ∧ v₅) → v₁₁,-1.2005772153247978
75,(d ∧ v₅) → v₁₂,0.42962394358489997,(r ∧ v₅) → v₁₂,1.3862943611198906
76,(d ∧ v₅) → v₁₃,1.256357939413227,(r ∧ v₅) → v₁₃,1.256357939413227
77,(d ∧ v₅) → v₁₄,1.8035939268750578,(r ∧ v₅) → v₁₄,3.4316803983872313
78,(d ∧ v₅) → v₁₅,0.45953232937844013,(r ∧ v₅) → v₁₅,-1.2836402070598072
79,(d ∧ v₅) → v₁₆,1.8035939268750578,(r ∧ v₅) → v₁₆,0.09531017980432493
80,(d ∧ v₆) → v₁,-0.2425198302773484,(r ∧ v₆) → v₁,-1.0599974525403302
81,(d ∧ v₆) → v₂,0.11810692229889096,(r ∧ v₆) → v₂,-0.09385844957113829
82,(d ∧ v₆) → v₃,1.0354333870465782,(r ∧ v₆) → v₃,-1.136639684257349
83,(d ∧ v₆) → v₄,-0.8625653325179921,(r ∧ v₆) → v₄,4.127134385045092
84,(d ∧ v₆) → v₅,-0.31143615845988804,(r ∧ v₆) → v₅,3.0239031505206873
85,(d ∧ v₆) → v₆,+inf,(r ∧ v₆) → v₆,+inf
86,(d ∧ v₆) → v₇,0.05088112154390537,(r ∧ v₆) → v₇,-1.0150913166182485
87,(d ∧ v₆) → v₈,0.29022984453057965,(r ∧ v₆) → v₈,-1.1474024528375417
88,(d ∧ v₆) → v₉,0.09531017980432493,(r ∧ v₆) → v₉,-1.2110902720948
89,(d ∧ v₆) → v₁₀,-0.07410797215372185,(r ∧ v₆) → v₁₀,-0.2425198302773484
90,(d ∧ v₆) → v₁₁,0.2641515750415869,(r ∧ v₆) → v₁₁,-1.1040797708502432
91,(d ∧ v₆) → v₁₂,-0.6161279981987651,(r ∧ v₆) → v₁₂,1.6165553802029644
92,(d ∧ v₆) → v₁₃,-0.18859116980755003,(r ∧ v₆) → v₁₃,1.4576653550118095
93,(d ∧ v₆) → v₁₄,0.11810692229889096,(r ∧ v₆) → v₁₄,3.0239031505206873
94,(d ∧ v₆) → v₁₅,-0.17015102117369937,(r ∧ v₆) → v₁₅,-1.2005772153247978
95,(d ∧ v₆) → v₁₆,1.705928033378274,(r ∧ v₆) → v₁₆,0.1649475888579016
96,(d ∧ v₇) → v₁,-0.29450803752218074,(r ∧ v₇) → v₁,0.8946292350929758
97,(d ∧ v₇) → v₂,-0.8007778447523107,(r ∧ v₇) → v₂,0.8513711857748395
98,(d ∧ v₇) → v₃,1.3862943611198906,(r ∧ v₇) → v₃,0.9864949905474035
99,(d ∧ v₇) → v₄,-1.8400643142906548,(r ∧ v₇) → v₄,3.4316803983872313
100,(d ∧ v₇) → v₅,-1.7382707842770688,(r ∧ v₇) → v₅,2.3237873006446486
101,(d ∧ v₇) → v₆,-1.1687975883780337,(r ∧ v₇) → v₆,1.705928033378274
102,(d ∧ v₇) → v₇,+inf,(r ∧ v₇) → v₇,+inf
103,(d ∧ v₇) → v₈,1.6165553802029644,(r ∧ v₇) → v₈,1.1968043148473233
104,(d ∧ v₇) → v₉,0.9396189843650634,(r ∧ v₇) → v₉,0.8946292350929758
105,(d ∧ v₇) → v₁₀,-0.8257253751330758,(r ∧ v₇) → v₁₀,1.4576653550118095
106,(d ∧ v₇) → v₁₁,-0.8867566971277513,(r ∧ v₇) → v₁₁,0.5216907536350945
107,(d ∧ v₇) → v₁₂,-1.6916760106710724,(r ∧ v₇) → v₁₂,1.6165553802029644
108,(d ∧ v₇) → v₁₃,-1.521250593691002,(r ∧ v₇) → v₁₃,1.5341458075191619
109,(d ∧ v₇) → v₁₄,-1.3844876758949416,(r ∧ v₇) → v₁₄,+inf
110,(d ∧ v₇) → v₁₅,-0.0337256347080362,(r ∧ v₇) → v₁₅,0.6931471805599453
111,(d ∧ v₇) → v₁₆,4.127134385045092,(r ∧ v₇) → v₁₆,4.127134385045092
112,(d ∧ v₈) → v₁,-0.42488319396526597,(r ∧ v₈) → v₁,1.5341458075191619
113,(d ∧ v₈) → v₂,-0.7755041683684605,(r ∧ v₈) → v₂,1.319372048627043
114,(d ∧ v₈) → v₃,1.6165553802029644,(r ∧ v₈) → v₃,1.6165553802029644
115,(d ∧ v₈) → v₄,-1.959703471187649,(r ∧ v₈) → v₄,4.127134385045092
116,(d ∧ v₈) → v₅,-1.8492833133662416,(r ∧ v₈) → v₅,2.16730289747117
117,(d ∧ v₈) → v₆,-1.2110902720948,(r ∧ v₈) → v₆,2.031432322493475
118,(d ∧ v₈) → v₇,0.8097084689660063,(r ∧ v₈) → v₇,3.0239031505206873
119,(d ∧ v₈) → v₈,+inf,(r ∧ v₈) → v₈,+inf
120,(d ∧ v₈) → v₉,0.8097084689660063,(r ∧ v₈) → v₉,1.705928033378274
121,(d ∧ v₈) → v₁₀,-0.8987464222232455,(r ∧ v₈) → v₁₀,2.16730289747117
122,(d ∧ v₈) → v₁₁,-0.9106674743197929,(r ∧ v₈) → v₁₁,1.0354333870465782
123,(d ∧ v₈) → v₁₂,-1.821612432377736,(r ∧ v₈) → v₁₂,2.031432322493475
124,(d ∧ v₈) → v₁₃,-1.6070729133026025,(r ∧ v₈) → v₁₃,1.9113046198778376
125,(d ∧ v₈) → v₁₄,-1.5019787601193528,(r ∧ v₈) → v₁₄,4.127134385045092
126,(d ∧ v₈) → v₁₅,-0.11332868530700312,(r ∧ v₈) → v₁₅,1.1968043148473233
127,(d ∧ v₈) → v₁₆,3.4316803983872313,(r ∧ v₈) → v₁₆,+inf
128,(d ∧ v₉) → v₁,-0.31143615845988804,(r ∧ v₉) → v₁,1.4576653550118095
129,(d ∧ v₉) → v₂,-0.7881826728196231,(r ∧ v₉) → v₂,1.4576653550118095
130,(d ∧ v₉) → v₃,1.3862943611198906,(r ∧ v₉) → v₃,1.8035939268750578
131,(d ∧ v₉) → v₄,-1.8031393928908175,(r ∧ v₉) → v₄,4.127134385045092
132,(d ∧ v₉) → v₅,-1.7010153518087414,(r ∧ v₉) → v₅,2.031432322493475
133,(d ∧ v₉) → v₆,-1.136639684257349,(r ∧ v₉) → v₆,1.9113046198778376
134,(d ∧ v₉) → v₇,0.9864949905474035,(r ∧ v₉) → v₇,2.733903579928544
135,(d ∧ v₉) → v₈,1.705928033378274,(r ∧ v₉) → v₈,2.3237873006446486
136,(d ∧ v₉) → v₉,+inf,(r ∧ v₉) → v₉,+inf
137,(d ∧ v₉) → v₁₀,-0.8257253751330758,(r ∧ v₉) → v₁₀,2.733903579928544
138,(d ∧ v₉) → v₁₁,-0.9106674743197929,(r ∧ v₉) → v₁₁,1.1968043148473233
139,(d ∧ v₉) → v₁₂,-1.6916760106710724,(r ∧ v₉) → v₁₂,2.16730289747117
140,(d ∧ v₉) → v₁₃,-1.4826254700583228,(r ∧ v₉) → v₁₃,2.3237873006446486
141,(d ∧ v₉) → v₁₄,-1.3545456628053103,(r ∧ v₉) → v₁₄,4.127134385045092
142,(d ∧ v₉) → v₁₅,-0.013072081567352775,(r ∧ v₉) → v₁₅,1.319372048627043
143,(d ∧ v₉) → v₁₆,2.733903579928544,(r ∧ v₉) → v₁₆,+inf
144,(d ∧ v₁₀) → v₁,-0.013072081567352775,(r ∧ v₁₀) → v₁,-0.3933211008533655
145,(d ∧ v₁₀) → v₂,-0.17015102117369937,(r ∧ v₁₀) → v₂,0.1649475888579016
146,(d ∧ v₁₀) → v₃,1.8035939268750578,(r ∧ v₁₀) → v₃,-0.42488319396526597
147,(d ∧ v₁₀) → v₄,-0.992307708743801,(r ∧ v₁₀) → v₄,4.127134385045092
148,(d ∧ v₁₀) → v₅,-0.7627404723591406,(r ∧ v₁₀) → v₅,2.3237873006446486
149,(d ∧ v₁₀) → v₆,-0.09385844957113829,(r ∧ v₁₀) → v₆,1.705928033378274
150,(d ∧ v₁₀) → v₇,0.9396189843650634,(r ∧ v₁₀) → v₇,-0.29450803752218074
151,(d ∧ v₁₀) → v₈,1.3862943611198906,(r ∧ v₁₀) → v₈,-0.42488319396526597
152,(d ∧ v₁₀) → v₉,0.8946292350929758,(r ∧ v₁₀) → v₉,-0.4558189942537792
153,(d ∧ v₁₀) → v₁₀,+inf,(r ∧ v₁₀) → v₁₀,+inf
154,(d ∧ v₁₀) → v₁₁,-0.09385844957113829,(r ∧ v₁₀) → v₁₁,-0.5159407244327611
155,(d ∧ v₁₀) → v₁₂,-0.8257253751330758,(r ∧ v₁₀) → v₁₂,1.4576653550118095
156,(d ∧ v₁₀) → v₁₃,-0.5159407244327611,(r ∧ v₁₀) → v₁₃,1.1968043148473233
157,(d ∧ v₁₀) → v₁₄,-0.37729423114146804,(r ∧ v₁₀) → v₁₄,3.4316803983872313
158,(d ∧ v₁₀) → v₁₅,0.14131353306657748,(r ∧ v₁₀) → v₁₅,-0.5306282510621704
159,(d ∧ v₁₀) → v₁₆,3.4316803983872313,(r ∧ v₁₀) → v₁₆,0.8513711857748395
160,(d ∧ v₁₁) → v₁,-0.11332868530700312,(r ∧ v₁₁) → v₁,1.4576653550118095
161,(d ∧ v₁₁) → v₂,0.09531017980432493,(r ∧ v₁₁) → v₂,2.3237873006446486
162,(d ∧ v₁₁) → v₃,1.086636097621394,(r ∧ v₁₁) → v₃,1.1968043148473233
163,(d ∧ v₁₁) → v₄,-1.0931328229034842,(r ∧ v₁₁) → v₄,+inf
164,(d ∧ v₁₁) → v₅,-0.7498896729198724,(r ∧ v₁₁) → v₅,4.127134385045092
165,(d ∧ v₁₁) → v₆,-0.13252821581409266,(r ∧ v₁₁) → v₆,4.127134385045092
166,(d ∧ v₁₁) → v₇,0.2135741002980591,(r ∧ v₁₁) → v₇,1.319372048627043
167,(d ∧ v₁₁) → v₈,0.5540343780972274,(r ∧ v₁₁) → v₈,1.1968043148473233
168,(d ∧ v₁₁) → v₉,0.14131353306657748,(r ∧ v₁₁) → v₉,1.086636097621394
169,(d ∧ v₁₁) → v₁₀,-0.3933211008533655,(r ∧ v₁₁) → v₁₀,1.8035939268750578
170,(d ∧ v₁₁) → v₁₁,+inf,(r ∧ v₁₁) → v₁₁,+inf
171,(d ∧ v₁₁) → v₁₂,-0.9460327010728926,(r ∧ v₁₁) → v₁₂,3.0239031505206873
172,(d ∧ v₁₁) → v₁₃,-0.6436989051459642,(r ∧ v₁₁) → v₁₃,3.0239031505206873
173,(d ∧ v₁₁) → v₁₄,-0.5159407244327611,(r ∧ v₁₁) → v₁₄,3.4316803983872313
174,(d ∧ v₁₁) → v₁₅,0.029218545999140005,(r ∧ v₁₁) → v₁₅,1.1403361320395096
175,(d ∧ v₁₁) → v₁₆,1.705928033378274,(r ∧ v₁₁) → v₁₆,2.3237873006446486
176,(d ∧ v₁₂) → v₁,1.0354333870465782,(r ∧ v₁₂) → v₁,-1.0710926653877333
177,(d ∧ v₁₂) → v₂,1.1403361320395096,(r ∧ v₁₂) → v₂,-0.17015102117369937
178,(d ∧ v₁₂) → v₃,1.6165553802029644,(r ∧ v₁₂) → v₃,-1.1474024528375417
179,(d ∧ v₁₂) → v₄,0.6931471805599453,(r ∧ v₁₂) → v₄,4.127134385045092
180,(d ∧ v₁₂) → v₅,1.1968043148473233,(r ∧ v₁₂) → v₅,3.0239031505206873
181,(d ∧ v₁₂) → v₆,2.733903579928544,(r ∧ v₁₂) → v₆,1.9113046198778376
182,(d ∧ v₁₂) → v₇,1.1968043148473233,(r ∧ v₁₂) → v₇,-0.992307708743801
183,(d ∧ v₁₂) → v₈,1.1968043148473233,(r ∧ v₁₂) → v₈,-1.114979266132315
184,(d ∧ v₁₂) → v₉,1.1403361320395096,(r ∧ v₁₂) → v₉,-1.158121461400679
185,(d ∧ v₁₂) → v₁₀,1.1403361320395096,(r ∧ v₁₂) → v₁₀,-0.2425198302773484
186,(d ∧ v₁₂) → v₁₁,1.6165553802029644,(r ∧ v₁₂) → v₁₁,-1.0931328229034842
187,(d ∧ v₁₂) → v₁₂,+inf,(r ∧ v₁₂) → v₁₂,+inf
188,(d ∧ v₁₂) → v₁₃,1.319372048627043,(r ∧ v₁₂) → v₁₃,1.6165553802029644
189,(d ∧ v₁₂) → v₁₄,2.16730289747117,(r ∧ v₁₂) → v₁₄,3.4316803983872313
190,(d ∧ v₁₂) → v₁₅,0.8946292350929758,(r ∧ v₁₂) → v₁₅,-1.1900246278619446
191,(d ∧ v₁₂) → v₁₆,2.5084371471981943,(r ∧ v₁₂) → v₁₆,0.11810692229889096
192,(d ∧ v₁₃) → v₁,0.45953232937844013,(r ∧ v₁₃) → v₁,-1.0037280032484166
193,(d ∧ v₁₃) → v₂,1.0354333870465782,(r ∧ v₁₃) → v₂,0.029218545999140005
194,(d ∧ v₁₃) → v₃,1.5341458075191619,(r ∧ v₁₃) → v₃,-1.1258322599021975
195,(d ∧ v₁₃) → v₄,-0.17015102117369937,(r ∧ v₁₃) → v₄,+inf
196,(d ∧ v₁₃) → v₅,0.490206336563255,(r ∧ v₁₃) → v₅,3.0239031505206873
197,(d ∧ v₁₃) → v₆,1.4576653550118095,(r ∧ v₁₃) → v₆,1.9113046198778376
198,(d ∧ v₁₃) → v₇,0.42962394358489997,(r ∧ v₁₃) → v₇,-0.9808292530117262
199,(d ∧ v₁₃) → v₈,0.5872905100916431,(r ∧ v₁₃) → v₈,-1.1040797708502432
200,(d ∧ v₁₃) → v₉,0.5216907536350945,(r ∧ v₁₃) → v₉,-1.1258322599021975
201,(d ∧ v₁₃) → v₁₀,0.5540343780972274,(r ∧ v₁₃) → v₁₀,-0.27738332025120643
202,(d ∧ v₁₃) → v₁₁,0.8513711857748395,(r ∧ v₁₃) → v₁₁,-1.0710926653877333
203,(d ∧ v₁₃) → v₁₂,0.029218545999140005,(r ∧ v₁₃) → v₁₂,1.8035939268750578
204,(d ∧ v₁₃) → v₁₃,+inf,(r ∧ v₁₃) → v₁₃,+inf
205,(d ∧ v₁₃) → v₁₄,0.8097084689660063,(r ∧ v₁₃) → v₁₄,3.0239031505206873
206,(d ∧ v₁₃) → v₁₅,0.31686869353831276,(r ∧ v₁₃) → v₁₅,-1.2005772153247978
207,(d ∧ v₁₃) → v₁₆,2.031432322493475,(r ∧ v₁₃) → v₁₆,0.11810692229889096
208,(d ∧ v₁₄) → v₁,0.189027798074038,(r ∧ v₁₄) → v₁,-1.1474024528375417
209,(d ∧ v₁₄) → v₂,0.29022984453057965,(r ∧ v₁₄) → v₂,-0.34472537837793343
210,(d ∧ v₁₄) → v₃,0.9396189843650634,(r ∧ v₁₄) → v₃,-1.232000977046939
211,(d ∧ v₁₄) → v₄,-0.4091825845082968,(r ∧ v₁₄) → v₄,3.4316803983872313
212,(d ∧ v₁₄) → v₅,0.2135741002980591,(r ∧ v₁₄) → v₅,2.16730289747117
213,(d ∧ v₁₄) → v₆,1.319372048627043,(r ∧ v₁₄) → v₆,1.256357939413227
214,(d ∧ v₁₄) → v₇,0.34409616173187235,(r ∧ v₁₄) → v₇,-1.0488507791090458
215,(d ∧ v₁₄) → v₈,0.4004399719054913,(r ∧ v₁₄) → v₈,-1.2215645976395069
216,(d ∧ v₁₄) → v₉,0.4004399719054913,(r ∧ v₁₄) → v₉,-1.2733822556981036
217,(d ∧ v₁₄) → v₁₀,0.31686869353831276,(r ∧ v₁₄) → v₁₀,-0.32817343380651787
218,(d ∧ v₁₄) → v₁₁,0.5540343780972274,(r ∧ v₁₄) → v₁₁,-1.2630900826512175
219,(d ∧ v₁₄) → v₁₂,-0.13252821581409266,(r ∧ v₁₄) → v₁₂,1.1403361320395096
220,(d ∧ v₁₄) → v₁₃,0.2641515750415869,(r ∧ v₁₄) → v₁₃,0.9864949905474035
221,(d ∧ v₁₄) → v₁₄,+inf,(r ∧ v₁₄) → v₁₄,+inf
222,(d ∧ v₁₄) → v₁₅,0.05088112154390537,(r ∧ v₁₄) → v₁₅,-1.3142157477090315
223,(d ∧ v₁₄) → v₁₆,1.705928033378274,(r ∧ v₁₄) → v₁₆,0.11810692229889096
224,(d ∧ v₁₅) → v₁,-0.29450803752218074,(r ∧ v₁₅) → v₁,1.8035939268750578
225,(d ∧ v₁₅) → v₂,-0.48616133938626954,(r ∧ v₁₅) → v₂,1.6165553802029644
226,(d ∧ v₁₅) → v₃,1.3862943611198906,(r ∧ v₁₅) → v₃,2.16730289747117
227,(d ∧ v₁₅) → v₄,-1.521250593691002,(r ∧ v₁₅) → v₄,4.127134385045092
228,(d ∧ v₁₅) → v₅,-1.3745348407129843,(r ∧ v₁₅) → v₅,3.4316803983872313
229,(d ∧ v₁₅) → v₆,-0.9343092373768334,(r ∧ v₁₅) → v₆,3.0239031505206873
230,(d ∧ v₁₅) → v₇,0.8946292350929758,(r ∧ v₁₅) → v₇,2.733903579928544
231,(d ∧ v₁₅) → v₈,1.4576653550118095,(r ∧ v₁₅) → v₈,2.031432322493475
232,(d ∧ v₁₅) → v₉,0.8946292350929758,(r ∧ v₁₅) → v₉,1.705928033378274
233,(d ∧ v₁₅) → v₁₀,-0.7369498032183383,(r ∧ v₁₅) → v₁₀,2.733903579928544
234,(d ∧ v₁₅) → v₁₁,-0.5739221835866606,(r ∧ v₁₅) → v₁₁,1.6165553802029644
235,(d ∧ v₁₅) → v₁₂,-1.4436577559998107,(r ∧ v₁₅) → v₁₂,2.5084371471981943
236,(d ∧ v₁₅) → v₁₃,-1.2424001814598216,(r ∧ v₁₅) → v₁₃,2.031432322493475
237,(d ∧ v₁₅) → v₁₄,-1.1794316954098183,(r ∧ v₁₅) → v₁₄,+inf
238,(d ∧ v₁₅) → v₁₅,+inf,(r ∧ v₁₅) → v₁₅,+inf
239,(d ∧ v₁₅) → v₁₆,2.733903579928544,(r ∧ v₁₅) → v₁₆,3.4316803983872313
240,(d ∧ v₁₆) → v₁,-0.6708414230456471,(r ∧ v₁₆) → v₁,-0.6573224540418006
241,(d ∧ v₁₆) → v₂,-0.9225212816247912,(r ∧ v₁₆) → v₂,0.05088112154390537
242,(d ∧ v₁₆) → v₃,0.9864949905474035,(r ∧ v₁₆) → v₃,-0.6842582331426993
243,(d ∧ v₁₆) → v₄,-2.209494669928034,(r ∧ v₁₆) → v₄,3.4316803983872313
244,(d ∧ v₁₆) → v₅,-1.8769172775683618,(r ∧ v₁₆) → v₅,2.031432322493475
245,(d ∧ v₁₆) → v₆,-1.232000977046939,(r ∧ v₁₆) → v₆,1.4576653550118095
246,(d ∧ v₁₆) → v₇,0.14131353306657748,(r ∧ v₁₆) → v₇,-0.4558189942537792
247,(d ∧ v₁₆) → v₈,0.490206336563255,(r ∧ v₁₆) → v₈,-0.6573224540418006
248,(d ∧ v₁₆) → v₉,0.05088112154390537,(r ∧ v₁₆) → v₉,-0.723918839226699
249,(d ∧ v₁₆) → v₁₀,-1.1258322599021975,(r ∧ v₁₆) → v₁₀,0.14131353306657748
250,(d ∧ v₁₆) → v₁₁,-1.0376515888784226,(r ∧ v₁₆) → v₁₁,-0.7755041683684605
251,(d ∧ v₁₆) → v₁₂,-2.005698067434287,(r ∧ v₁₆) → v₁₂,1.1403361320395096
252,(d ∧ v₁₆) → v₁₃,-1.6916760106710724,(r ∧ v₁₆) → v₁₃,1.0354333870465782
253,(d ∧ v₁₆) → v₁₄,-1.5595660823939272,(r ∧ v₁₆) → v₁₄,3.4316803983872313
254,(d ∧ v₁₆) → v₁₅,-0.5011195812538142,(r ∧ v₁₆) → v₁₅,-0.8132914924020085
255,(d ∧ v₁₆) → v₁₆,+inf,(r ∧ v₁₆) → v₁₆,+inf
